Code,Song_Name,Song_Duration_ms,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Audio_mode,Speechiness,Tempo,Audio_valence,Dynamism,Decibel,Loudness,Song_Popularity,Indicator
HI8,Boulevard of Broken Dreams,262333,0.0054096,0.49104,68.2,2.94E-05,8,112.126921,1,44.1,167.06,0.474,High,-4.095,Blare,57.72,102.3
HI10,In The End,216933,0.010094,0.53658,85.3,0,3,122.7664,0,,105.256,0.37,high,-6.407,Roar,45.37,127.95
MI11,Seven Nation Army,231733,0.0080066,0.72963,46.3,0.447,0,157.5025,1,118.8,123.881,0.324,Med,-7.828,Roar,47.28,69.45
EI8,By The Way,216933,0.025872,0.44649,97,0.00355,0,121.4404,1,160.5,122.444,0.198,Extra,-4.938,Blare,52.89,145.5
HI9,How You Remind Me,223826,0.00093492,0.44253,76.6,0,10,123.8769,1,46.95,172.011,0.574,Hi,-5.065,Blare,46.68,114.9
EI7,Bring Me To Life,235893,0.008771,0.31284,94.5,1.85E-06,4,194.8816,0,,189.931,0.32,Extra,-3.169,?,63.98,141.75
HI7,Last Resort,199893,0.00049392,0.57519,88.7,0.00111,4,160.7824,0,93.6,90.578,0.724,High,-3.659,Boom,67.74,133.05
EI7,Are You Gonna Be My Girl,213800,0.0014504,0.60687,95.3,0.000582,2,?,1,,105.046,0.537,Extra,-3.435,Boom,62.55,142.95
EI7,Mr. Brightside,222586,0.0010584,0.3267,93.6,0,1,119.377476,1,,148.112,0.234,,-3.66,Boom,61.11,140.4
EI9,Sex on Fire,203346,0.0016856,0.53658,90.5,0.0104,9,129.0496,1,81,153.398,0.374,Extra,-5.653,Blare,54.76,135.75
HI7,The Middle,168253,0.041552,,89.7,0,2,159.5169,1,72.45,161.944,0.93,,-3.401,?,74.44,134.55
HI8,Numb,185586,0.004508,0.49104,86.3,0,9,268.6321,1,,110.018,0.243,high,-4.153,Blare,50.08,129.45
EI8,Smooth Criminal,209266,0.0042532,,96.4,0.0036,9,132.25,0,90,126.942,0.875,Extra,-4.225,Blare,67.45,144.6
EI7,Can't Stop,269000,0.017542,0.61182,93.8,0,9,136.1889,1,68.4,91.455,0.875,Extra,-3.442,Boom,74.48,140.7
EI7,Chop Suey!,210240,0.00034594,0.4158,92.9,0.000747,7,125.8884,0,181.5,127.204,0.3,Extra,-3.899,Boom,54.66,139.35
HI12,Take Me Out,237026,0.00041454,0.27522,67.6,0.000899,9,129.0496,1,55.65,104.545,0.494,Hi,-8.821,Clang,47.77,101.4
HI10,I Miss You,227240,0.0013328,0.65241,77.8,6.79E-06,11,117.527281,1,56.85,110.022,0.623,Hi,-6.423,Roar,51.26,116.7
EI8,Best of You,256600,0.0068698,0.3663,94.4,2.90E-06,1,128.8225,0,115.05,130.315,0.345,Extra,-4.979,Blare,47.71,141.6
HI8,I Write Sins Not Tragedies,187613,0.091924,,79.5,0,9,124.0996,0,201,170.06,0.635,h,-4.985,Blare,58.20,119.25
HI9,Kryptonite,233933,0.0065072,0.53955,86.5,1.12E-05,11,136.4224,0,,99.01,0.543,Hi,-5.708,Blare,55.79,129.75
EI7,The Kill (Bury Me),231533,0.001372,0.30591,91.2,0.000271,4,250.2724,0,,183.035,0.302,Extra,-3.881,Boom,54.97,136.8
HI9,Use Somebody,230760,0.0054096,0.27324,71.5,0.000417,0,144.2401,1,64.8,137.028,0.173,High,-5.356,?,54.12,107.25
MI9,No One Knows,255066,0.013426,0.51282,53.8,0.000398,0,130.1881,1,,170.953,0.687,,-5.818,Blare,25.53,80.7
EI6,Jerk It Out,195666,0.016758,0.5742,98.1,1.07E-05,8,192.0996,0,,134.007,0.861,,-2.603,Boom,68.17,147.15
EI8,Uprising,304840,0.00019796,0.59598,90.5,0.064,2,124.7689,1,116.25,128.019,0.411,Extra,-4.046,Blare,59.62,135.75
MI14,Hey There Delilah,232533,0.85456,,29.1,0,2,124.0996,1,,103.973,0.298,Med,-10.572,Rumble,45.08,43.65
EI8,Blurry,303920,0.009996,0.4356,93.2,0,3,130.4164,0,87.6,157.438,0.495,Extra,-4.488,Blare,34.25,139.8
EI6,American Idiot,176346,2.59E-05,0.3762,98.8,7.86E-05,1,187.1424,1,95.85,186.113,0.769,,-2.042,Boom,76.25,148.2
EI8,Welcome to the Black Parade,311106,0.00028322,0.21483,90.5,0.00011,2,149.3284,1,112.8,96.95,0.236,Extra,-4.103,Blare,58.46,135.75
HI10,Gives You Hell,213106,0.015288,0.70686,72.5,0,4,115.047076,1,60.3,99.988,0.59,,-6.411,?,50.50,108.75
MI9,All My Life,262733,0.00019012,0.57618,59.7,0.000273,5,230.1289,1,76.8,167.738,0.674,Med,-5.671,?,24.70,89.55
MI9,Like a Stone,293960,0.0078106,,56.8,0,7,120.934009,0,41.4,107.849,0.516,Medium,-5.477,Blare,55.60,85.2
HI8,It's Been Awhile,264706,0.0018522,0.50391,77.4,0.000549,6,130.6449,1,50.7,116.529,0.0824,,-4.054,Blare,52.07,116.1
HI9,I Hate Everything About You,231480,0.0045178,0.49302,83,0,6,129.7321,0,63.15,89.342,0.453,,-5.157,?,54.28,124.5
EI7,Rollin' (Air Raid Vehicle),213760,0.0049588,0.59301,93.2,0,9,161.0361,1,270,96.234,0.692,Extra,-3.328,Boom,65.14,139.8
EI9,Fat Lip,178266,0.00060564,0.56826,91.1,0,9,115.971361,1,107.25,98.075,0.573,Extra,-5.176,Blare,54.78,136.65
EI8,The Pretender,269373,0.00089866,0.42867,95.9,0,9,105.6784,1,64.65,172.984,0.365,,-4.04,Blare,26.00,143.85
